"subj","image_model","oddball","target_loc","ms_stim","synth_num","crop_x","crop_y","crop_x_2","crop_y_2","session","test_location","rand_seed","trial","response","rt","eye_valid","prop_eye_valid","correct","image_code","image_name","presentation_cond","subj_display","sex","age","first.pres_time"
"S8","conv1",0,2,2000,8,1,8,129,39,2,"cin",211833.6367,116,"2",1.53510461499991,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","Naive","f",26,200
"S8","conv4",0,3,2000,1,1,40,129,127,2,"cin",211833.6367,117,"2",1.96280652499991,NA,NA,0,"Crackles0004_1_S","Cracks","Inspection","Naive","f",26,200
"S8","conv1",0,2,2000,3,104,1,41,129,2,"cin",211833.6367,118,"2",1.42441284000006,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","conv1",0,3,2000,4,102,1,125,129,2,"cin",211833.6367,119,"3",1.50741359999984,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv1",1,1,2000,2,36,1,72,129,2,"cin",211833.6367,120,"1",1.23125393999999,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","Naive","f",26,200
"S8","conv5",1,3,2000,2,113,1,49,129,2,"cin",211833.6367,121,"3",1.37052336999977,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","Naive","f",26,200
"S8","conv4",0,3,2000,10,1,36,129,78,2,"cin",211833.6367,122,"2",2.41727877499989,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","Naive","f",26,200
"S8","PS",0,1,2000,8,119,1,43,129,2,"cin",211833.6367,123,"1",2.23006448999968,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","Naive","f",26,200
"S8","conv1",0,1,2000,8,1,113,129,34,2,"cin",211833.6367,124,"1",0.745591485000205,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","Naive","f",26,200
"S8","conv2",1,2,2000,9,1,78,129,4,2,"cin",211833.6367,125,"2",1.72148535999986,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv1",0,1,2000,10,84,1,31,129,2,"cin",211833.6367,126,"1",1.88581316,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","Naive","f",26,200
"S8","conv1",0,1,2000,7,1,29,129,39,2,"cin",211833.6367,127,"1",1.85800371499954,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv2",1,1,2000,10,1,63,129,112,2,"cin",211833.6367,128,"1",2.28316384499976,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","conv1",1,1,2000,10,1,4,129,85,2,"cin",211833.6367,129,"1",1.98266268499947,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","Naive","f",26,200
"S8","conv2",0,1,2000,8,32,1,40,129,2,"cin",211833.6367,130,"1",1.67606345499962,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","Naive","f",26,200
"S8","conv1",0,1,2000,7,1,65,129,98,2,"cin",211833.6367,131,"1",1.93318457499981,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","Naive","f",26,200
"S8","conv4",1,1,2000,6,1,26,129,80,2,"cin",211833.6367,132,"1",2.50639004000004,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","Naive","f",26,200
"S8","conv4",0,2,2000,7,1,112,129,36,2,"cin",211833.6367,133,"2",2.43580493499985,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","conv2",1,2,2000,1,77,1,92,129,2,"cin",211833.6367,134,"2",2.37864502499997,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv1",0,3,2000,6,1,97,129,25,2,"cin",211833.6367,135,"3",2.23918094499959,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv4",0,1,2000,5,1,14,129,45,2,"cin",211833.6367,136,"2",2.54225393999968,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","PS",0,3,2000,1,65,1,98,129,2,"cin",211833.6367,137,"3",2.7024786449997,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","Naive","f",26,200
"S8","PS",0,3,2000,1,115,1,63,129,2,"cin",211833.6367,138,"3",2.34836071999962,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","Naive","f",26,200
"S8","conv5",1,1,2000,1,112,1,6,129,2,"cin",211833.6367,139,"2",2.33664237999983,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","Naive","f",26,200
"S8","conv5",0,2,2000,5,44,1,54,129,2,"cin",211833.6367,140,"3",2.47353373499982,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv1",0,1,2000,6,124,1,2,129,2,"cin",211833.6367,141,"3",2.19430871499981,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","Naive","f",26,200
"S8","conv5",0,3,2000,6,5,1,75,129,2,"cin",211833.6367,142,"1",2.63036724999984,NA,NA,0,"Carpet0047_1_S","Carpet","Inspection","Naive","f",26,200
"S8","PS",0,2,2000,3,67,1,72,129,2,"cin",211833.6367,143,"3",2.70636588499974,NA,NA,0,"RooftilesCeramic0037_1_S","Tiles","Inspection","Naive","f",26,200
"S8","conv1",1,2,2000,8,43,1,105,129,2,"cin",211833.6367,144,"2",2.3652685549996,NA,NA,1,"Gravel0097_1_S","Gravel","Inspection","Naive","f",26,200
"S8","PS",1,2,2000,3,67,1,119,129,2,"cin",211833.6367,145,"2",1.5509236099997,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv5",1,2,2000,7,1,56,129,107,2,"cin",211833.6367,146,"3",2.47623886999963,NA,NA,0,"BrickRound0043_1_S","Bricks","Inspection","Naive","f",26,200
"S8","conv1",1,3,2000,6,62,1,40,129,2,"cin",211833.6367,147,"3",2.06493265999961,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","Naive","f",26,200
"S8","PS",0,2,2000,3,1,54,129,113,2,"cin",211833.6367,148,"1",1.98334009000018,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","Naive","f",26,200
"S8","PS",0,2,2000,3,39,1,43,129,2,"cin",211833.6367,149,"2",1.82283642999982,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","conv4",1,3,2000,5,68,1,66,129,2,"cin",211833.6367,150,"2",2.02365284500002,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv3",1,3,2000,3,83,1,102,129,2,"cin",211833.6367,151,"3",2.47376837000002,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","Naive","f",26,200
"S8","PS",0,2,2000,10,1,49,129,72,2,"cin",211833.6367,152,"2",2.00181369499978,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","Naive","f",26,200
"S8","conv5",0,1,2000,7,92,1,59,129,2,"cin",211833.6367,153,"2",2.67333528999961,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv1",1,3,2000,9,67,1,16,129,2,"cin",211833.6367,154,"3",2.26120316499964,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv4",0,2,2000,4,1,62,129,52,2,"cin",211833.6367,155,"2",2.42734860999963,NA,NA,1,"PaperCrumpled0004_1_S","Paper","Inspection","Naive","f",26,200
"S8","conv3",0,1,2000,4,1,14,129,93,2,"cin",211833.6367,156,"1",1.92169238999986,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","Naive","f",26,200
"S8","PS",0,2,2000,10,62,1,38,129,2,"cin",211833.6367,157,"1",2.18633275499997,NA,NA,0,"Crackles0004_1_S","Cracks","Inspection","Naive","f",26,200
"S8","conv4",0,3,2000,9,1,20,129,115,2,"cin",211833.6367,158,"1",2.40275854999982,NA,NA,0,"BrickRound0043_1_S","Bricks","Inspection","Naive","f",26,200
"S8","conv1",0,1,2000,10,1,119,129,105,2,"cin",211833.6367,159,"1",2.23349967499962,NA,NA,1,"Scrapyard0033_1_S","Scrap","Inspection","Naive","f",26,200
"S8","conv5",1,1,2000,2,1,25,129,95,2,"cin",211833.6367,160,"3",2.45032115999993,NA,NA,0,"Vegetables0024_1_S","Beans","Inspection","Naive","f",26,200
"S8","conv1",0,3,2000,2,1,78,129,57,2,"cin",211833.6367,161,"3",2.18088958499993,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","Naive","f",26,200
"S8","conv4",0,3,2000,1,1,123,129,112,2,"cin",211833.6367,162,"3",2.49542827499999,NA,NA,1,"PaperCrumpled0004_1_S","Paper","Inspection","Naive","f",26,200
"S8","conv1",1,2,2000,5,87,1,114,129,2,"cin",211833.6367,163,"2",2.07094739999957,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","Naive","f",26,200
"S8","conv3",0,2,2000,9,96,1,113,129,2,"cin",211833.6367,164,"2",2.43291307999971,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","Naive","f",26,200
"S8","PS",1,1,2000,6,90,1,108,129,2,"cin",211833.6367,165,"1",1.82380537500012,NA,NA,1,"BrickRound0043_1_S","Bricks","Inspection","Naive","f",26,200
"S8","conv4",1,3,2000,5,1,73,129,102,2,"cin",211833.6367,166,"1",2.39693290499963,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","Naive","f",26,200
"S8","conv1",1,1,2000,10,107,1,27,129,2,"cin",211833.6367,167,"1",2.45511643999953,NA,NA,1,"PaperCrumpled0004_1_S","Paper","Inspection","Naive","f",26,200
"S8","PS",1,3,2000,8,112,1,17,129,2,"cin",211833.6367,168,"3",2.46212348999961,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","Naive","f",26,200
"S8","conv4",1,3,2000,8,1,72,129,93,2,"cin",211833.6367,169,"2",2.38016100999994,NA,NA,0,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv2",1,3,2000,10,64,1,59,129,2,"cin",211833.6367,170,"3",2.46039305999966,NA,NA,1,"Crackles0004_1_S","Cracks","Inspection","Naive","f",26,200
"S8","conv2",0,3,2000,2,22,1,128,129,2,"cin",211833.6367,171,"3",2.27212498499966,NA,NA,1,"RooftilesCeramic0037_1_S","Tiles","Inspection","Naive","f",26,200
"S8","conv5",0,1,2000,5,96,1,9,129,2,"cin",211833.6367,172,"1",2.38118094499987,NA,NA,1,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","conv4",0,2,2000,5,1,60,129,93,2,"cin",211833.6367,173,"1",2.55154369499951,NA,NA,0,"Scrapyard0033_1_S","Scrap","Inspection","Naive","f",26,200
"S8","conv1",1,1,2000,3,1,127,129,90,2,"cin",211833.6367,174,"1",2.23361255499958,NA,NA,1,"MetalFloorsBare0024_1_S","Metal","Inspection","Naive","f",26,200
"S8","conv4",0,1,2000,7,1,5,129,71,2,"cin",211833.6367,175,"2",2.60125801999993,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","conv5",0,1,2000,8,26,1,113,129,2,"cin",211833.6367,176,"1",2.37997252000014,NA,NA,1,"FoodVarious0001_1_S","Candy","Inspection","Naive","f",26,200
"S8","conv4",0,3,2000,10,90,1,17,129,2,"cin",211833.6367,177,"1",2.11832698999979,NA,NA,0,"PaperCrumpled0004_1_S","Paper","Inspection","Naive","f",26,200
"S8","conv5",0,2,2000,1,88,1,98,129,2,"cin",211833.6367,178,"1",2.58336839999993,NA,NA,0,"FlowerBeds0044_1_S","Flowers","Inspection","Naive","f",26,200
"S8","PS",0,3,2000,1,4,1,118,129,2,"cin",211833.6367,179,"3",2.20955400999992,NA,NA,1,"GrassDead0131_1_S","Grass","Inspection","Naive","f",26,200
"S8","conv2",1,2,2000,4,109,1,119,129,2,"cin",211833.6367,180,"3",2.54338270500011,NA,NA,0,"Gravel0097_1_S","Gravel","Inspection","Naive","f",26,200
"S8","conv1",0,2,2000,6,102,1,43,129,2,"cin",211833.6367,181,"2",2.27146743499998,NA,NA,1,"Vegetables0024_1_S","Beans","Inspection","Naive","f",26,200
"S8","conv1",0,1,2000,4,1,87,129,125,2,"cin",211833.6367,182,"1",2.22461442999975,NA,NA,1,"Carpet0047_1_S","Carpet","Inspection","Naive","f",26,200
